,x,Lineage
human1_lib1.final_cell_0055,beta,Endocrine
human1_lib1.final_cell_0056,activated_stellate,PSC
human1_lib1.final_cell_0057,beta,Endocrine
human1_lib1.final_cell_0058,beta,Endocrine
human1_lib1.final_cell_0059,beta,Endocrine
human1_lib1.final_cell_0060,beta,Endocrine
human1_lib1.final_cell_0061,ductal,Exocrine
human1_lib1.final_cell_0062,alpha,Endocrine
human1_lib1.final_cell_0063,beta,Endocrine
human1_lib1.final_cell_0064,ductal,Exocrine
human1_lib1.final_cell_0065,ductal,Exocrine
human1_lib1.final_cell_0066,acinar,Exocrine
human1_lib1.final_cell_0067,alpha,Endocrine
human1_lib1.final_cell_0068,beta,Endocrine
human1_lib1.final_cell_0069,delta,Endocrine
human1_lib1.final_cell_0070,alpha,Endocrine
human1_lib1.final_cell_0071,beta,Endocrine
human1_lib1.final_cell_0072,beta,Endocrine
human1_lib1.final_cell_0073,beta,Endocrine
human1_lib1.final_cell_0074,delta,Endocrine
human1_lib1.final_cell_0075,beta,Endocrine
human1_lib1.final_cell_0076,beta,Endocrine
human1_lib1.final_cell_0077,delta,Endocrine
human1_lib1.final_cell_0078,beta,Endocrine
human1_lib1.final_cell_0079,beta,Endocrine
human1_lib1.final_cell_0080,beta,Endocrine
human1_lib1.final_cell_0081,beta,Endocrine
human1_lib1.final_cell_0082,beta,Endocrine
human1_lib1.final_cell_0083,beta,Endocrine
human1_lib1.final_cell_0084,acinar,Exocrine
human1_lib1.final_cell_0085,activated_stellate,PSC
human1_lib1.final_cell_0086,delta,Endocrine
human1_lib1.final_cell_0087,delta,Endocrine
human1_lib1.final_cell_0088,beta,Endocrine
human1_lib1.final_cell_0089,beta,Endocrine
human1_lib1.final_cell_0090,beta,Endocrine
human1_lib1.final_cell_0091,beta,Endocrine
human1_lib1.final_cell_0092,beta,Endocrine
human1_lib1.final_cell_0093,beta,Endocrine
human1_lib1.final_cell_0094,beta,Endocrine
human1_lib1.final_cell_0095,beta,Endocrine
human1_lib1.final_cell_0096,beta,Endocrine
human1_lib1.final_cell_0097,beta,Endocrine
human1_lib1.final_cell_0098,delta,Endocrine
human1_lib1.final_cell_0099,delta,Endocrine
human1_lib1.final_cell_0100,beta,Endocrine
human1_lib1.final_cell_0101,delta,Endocrine
human1_lib1.final_cell_0102,alpha,Endocrine
human1_lib1.final_cell_0103,alpha,Endocrine
human1_lib1.final_cell_0104,delta,Endocrine
human1_lib1.final_cell_0105,beta,Endocrine
human1_lib1.final_cell_0106,beta,Endocrine
human1_lib1.final_cell_0107,beta,Endocrine
human1_lib1.final_cell_0108,beta,Endocrine
human1_lib1.final_cell_0109,acinar,Exocrine
human1_lib1.final_cell_0110,delta,Endocrine
human1_lib1.final_cell_0111,beta,Endocrine
human1_lib1.final_cell_0112,beta,Endocrine
human1_lib1.final_cell_0113,delta,Endocrine
human1_lib1.final_cell_0114,beta,Endocrine
human1_lib1.final_cell_0115,beta,Endocrine
human1_lib1.final_cell_0116,beta,Endocrine
human1_lib1.final_cell_0117,delta,Endocrine
human1_lib1.final_cell_0118,beta,Endocrine
human1_lib1.final_cell_0119,delta,Endocrine
human1_lib1.final_cell_0120,beta,Endocrine
human1_lib1.final_cell_0121,beta,Endocrine
human1_lib1.final_cell_0122,beta,Endocrine
human1_lib1.final_cell_0123,epsilon,Endocrine
human1_lib1.final_cell_0124,beta,Endocrine
human1_lib1.final_cell_0125,beta,Endocrine
human1_lib1.final_cell_0126,beta,Endocrine
human1_lib1.final_cell_0127,delta,Endocrine
human1_lib1.final_cell_0128,beta,Endocrine
human1_lib1.final_cell_0129,delta,Endocrine
human1_lib1.final_cell_0130,beta,Endocrine
human1_lib1.final_cell_0131,alpha,Endocrine
human1_lib1.final_cell_0132,alpha,Endocrine
human1_lib1.final_cell_0133,beta,Endocrine
human1_lib1.final_cell_0134,acinar,Exocrine
human1_lib1.final_cell_0135,alpha,Endocrine
human1_lib1.final_cell_0136,beta,Endocrine
human1_lib1.final_cell_0137,beta,Endocrine
human1_lib1.final_cell_0138,alpha,Endocrine
human1_lib1.final_cell_0139,beta,Endocrine
human1_lib1.final_cell_0140,delta,Endocrine
human1_lib1.final_cell_0141,beta,Endocrine
human1_lib1.final_cell_0142,beta,Endocrine
human1_lib1.final_cell_0143,beta,Endocrine
human1_lib1.final_cell_0144,beta,Endocrine
human1_lib1.final_cell_0145,beta,Endocrine
human1_lib1.final_cell_0146,delta,Endocrine
human1_lib1.final_cell_0147,beta,Endocrine
human1_lib1.final_cell_0148,ductal,Exocrine
human1_lib1.final_cell_0149,ductal,Exocrine
human1_lib1.final_cell_0150,beta,Endocrine
human1_lib1.final_cell_0151,beta,Endocrine
human1_lib1.final_cell_0152,beta,Endocrine
human1_lib1.final_cell_0153,beta,Endocrine
human1_lib1.final_cell_0154,delta,Endocrine
human1_lib1.final_cell_0155,beta,Endocrine
human1_lib1.final_cell_0156,activated_stellate,PSC
human1_lib1.final_cell_0157,beta,Endocrine
human1_lib1.final_cell_0158,beta,Endocrine
human1_lib1.final_cell_0159,alpha,Endocrine
human1_lib1.final_cell_0160,beta,Endocrine
human1_lib1.final_cell_0161,alpha,Endocrine
human1_lib1.final_cell_0162,beta,Endocrine
human1_lib1.final_cell_0163,gamma,Endocrine
human1_lib1.final_cell_0164,beta,Endocrine
human1_lib1.final_cell_0165,beta,Endocrine
human1_lib1.final_cell_0166,beta,Endocrine
human1_lib1.final_cell_0167,beta,Endocrine
human1_lib1.final_cell_0168,beta,Endocrine
human1_lib1.final_cell_0169,beta,Endocrine
human1_lib1.final_cell_0170,beta,Endocrine
human1_lib1.final_cell_0171,acinar,Exocrine
human1_lib1.final_cell_0172,beta,Endocrine
human1_lib1.final_cell_0173,acinar,Exocrine
human1_lib1.final_cell_0174,beta,Endocrine
human1_lib1.final_cell_0175,beta,Endocrine
human1_lib1.final_cell_0176,beta,Endocrine
human1_lib1.final_cell_0177,acinar,Exocrine
human1_lib1.final_cell_0178,delta,Endocrine
human1_lib1.final_cell_0179,beta,Endocrine
human1_lib1.final_cell_0180,delta,Endocrine
human1_lib1.final_cell_0181,beta,Endocrine
human1_lib1.final_cell_0182,acinar,Exocrine
human1_lib1.final_cell_0183,alpha,Endocrine
human1_lib1.final_cell_0184,beta,Endocrine
human1_lib1.final_cell_0185,alpha,Endocrine
human1_lib1.final_cell_0186,beta,Endocrine
human1_lib1.final_cell_0187,alpha,Endocrine
human1_lib1.final_cell_0188,endothelial,endothelial
human1_lib1.final_cell_0189,beta,Endocrine
human1_lib1.final_cell_0190,beta,Endocrine
human1_lib1.final_cell_0191,alpha,Endocrine
human1_lib1.final_cell_0192,delta,Endocrine
human1_lib1.final_cell_0193,beta,Endocrine
human1_lib1.final_cell_0194,beta,Endocrine
human1_lib1.final_cell_0195,delta,Endocrine
human1_lib1.final_cell_0196,beta,Endocrine
human1_lib1.final_cell_0197,gamma,Endocrine
human1_lib1.final_cell_0198,alpha,Endocrine
human1_lib1.final_cell_0199,beta,Endocrine
human1_lib1.final_cell_0200,beta,Endocrine
human1_lib1.final_cell_0201,delta,Endocrine
human1_lib1.final_cell_0202,alpha,Endocrine
human1_lib1.final_cell_0203,ductal,Exocrine
human1_lib1.final_cell_0204,beta,Endocrine
human1_lib1.final_cell_0205,alpha,Endocrine
human1_lib1.final_cell_0206,beta,Endocrine
human1_lib1.final_cell_0207,ductal,Exocrine
human1_lib1.final_cell_0208,alpha,Endocrine
human1_lib1.final_cell_0209,ductal,Exocrine
human1_lib1.final_cell_0210,beta,Endocrine
human1_lib1.final_cell_0211,beta,Endocrine
human1_lib1.final_cell_0212,alpha,Endocrine
human1_lib1.final_cell_0213,beta,Endocrine
human1_lib1.final_cell_0214,beta,Endocrine
human1_lib1.final_cell_0215,quiescent_stellate,PSC
human1_lib1.final_cell_0216,ductal,Exocrine
human1_lib1.final_cell_0217,ductal,Exocrine
human1_lib1.final_cell_0218,endothelial,endothelial
human1_lib1.final_cell_0219,activated_stellate,PSC
human1_lib1.final_cell_0220,beta,Endocrine
human1_lib1.final_cell_0221,delta,Endocrine
human1_lib1.final_cell_0222,gamma,Endocrine
human1_lib1.final_cell_0223,beta,Endocrine
human1_lib1.final_cell_0224,beta,Endocrine
human1_lib1.final_cell_0225,beta,Endocrine
human1_lib1.final_cell_0226,alpha,Endocrine
human1_lib1.final_cell_0227,beta,Endocrine
human1_lib1.final_cell_0228,beta,Endocrine
human1_lib1.final_cell_0229,delta,Endocrine
human1_lib1.final_cell_0230,ductal,Exocrine
human1_lib1.final_cell_0231,beta,Endocrine
human1_lib1.final_cell_0232,delta,Endocrine
human1_lib1.final_cell_0233,delta,Endocrine
human1_lib1.final_cell_0234,beta,Endocrine
human1_lib1.final_cell_0235,delta,Endocrine
human1_lib1.final_cell_0236,beta,Endocrine
human1_lib1.final_cell_0237,activated_stellate,PSC
human1_lib1.final_cell_0238,beta,Endocrine
human1_lib1.final_cell_0239,beta,Endocrine
human1_lib1.final_cell_0240,delta,Endocrine
human1_lib1.final_cell_0241,beta,Endocrine
human1_lib1.final_cell_0242,quiescent_stellate,PSC
human1_lib1.final_cell_0243,beta,Endocrine
human1_lib1.final_cell_0244,acinar,Exocrine
human1_lib1.final_cell_0245,alpha,Endocrine
human1_lib1.final_cell_0246,delta,Endocrine
human1_lib1.final_cell_0247,beta,Endocrine
human1_lib1.final_cell_0248,alpha,Endocrine
human1_lib1.final_cell_0249,beta,Endocrine
human1_lib1.final_cell_0250,endothelial,endothelial
human1_lib1.final_cell_0251,delta,Endocrine
human1_lib1.final_cell_0252,delta,Endocrine
human1_lib1.final_cell_0253,beta,Endocrine
human1_lib1.final_cell_0254,beta,Endocrine
human1_lib1.final_cell_0255,delta,Endocrine
human1_lib1.final_cell_0256,gamma,Endocrine
human1_lib1.final_cell_0257,alpha,Endocrine
human1_lib1.final_cell_0258,beta,Endocrine
human1_lib1.final_cell_0259,beta,Endocrine
human1_lib1.final_cell_0260,beta,Endocrine
human1_lib1.final_cell_0261,ductal,Exocrine
human1_lib1.final_cell_0262,delta,Endocrine
human1_lib1.final_cell_0263,alpha,Endocrine
human1_lib1.final_cell_0264,beta,Endocrine
human1_lib1.final_cell_0265,gamma,Endocrine
human1_lib1.final_cell_0266,beta,Endocrine
human1_lib1.final_cell_0267,beta,Endocrine
human1_lib1.final_cell_0268,beta,Endocrine
human1_lib1.final_cell_0269,quiescent_stellate,PSC
human1_lib1.final_cell_0270,alpha,Endocrine
human1_lib1.final_cell_0271,delta,Endocrine
human1_lib1.final_cell_0272,alpha,Endocrine
human1_lib1.final_cell_0273,endothelial,endothelial
human1_lib1.final_cell_0274,alpha,Endocrine
human1_lib1.final_cell_0275,delta,Endocrine
human1_lib1.final_cell_0276,beta,Endocrine
human1_lib1.final_cell_0277,gamma,Endocrine
human1_lib1.final_cell_0278,ductal,Exocrine
human1_lib1.final_cell_0279,alpha,Endocrine
human1_lib1.final_cell_0280,alpha,Endocrine
human1_lib1.final_cell_0281,delta,Endocrine
human1_lib1.final_cell_0282,beta,Endocrine
human1_lib1.final_cell_0283,beta,Endocrine
human1_lib1.final_cell_0284,ductal,Exocrine
human1_lib1.final_cell_0285,alpha,Endocrine
human1_lib1.final_cell_0286,beta,Endocrine
human1_lib1.final_cell_0287,delta,Endocrine
human1_lib1.final_cell_0288,macrophage,Immune
human1_lib1.final_cell_0289,endothelial,endothelial
human1_lib1.final_cell_0290,beta,Endocrine
human1_lib1.final_cell_0291,beta,Endocrine
human1_lib1.final_cell_0292,beta,Endocrine
human1_lib1.final_cell_0293,beta,Endocrine
human1_lib1.final_cell_0294,beta,Endocrine
human1_lib1.final_cell_0295,beta,Endocrine
human1_lib1.final_cell_0296,beta,Endocrine
human1_lib1.final_cell_0297,beta,Endocrine
human1_lib1.final_cell_0298,beta,Endocrine
human1_lib1.final_cell_0299,beta,Endocrine
human1_lib1.final_cell_0300,beta,Endocrine
human1_lib1.final_cell_0301,gamma,Endocrine
human1_lib1.final_cell_0302,endothelial,endothelial
human1_lib1.final_cell_0303,beta,Endocrine
human1_lib1.final_cell_0304,beta,Endocrine
human1_lib1.final_cell_0305,beta,Endocrine
human1_lib1.final_cell_0306,delta,Endocrine
human1_lib1.final_cell_0307,beta,Endocrine
human1_lib1.final_cell_0308,gamma,Endocrine
human1_lib1.final_cell_0309,epsilon,Endocrine
human1_lib1.final_cell_0310,delta,Endocrine
human1_lib1.final_cell_0311,beta,Endocrine
human1_lib1.final_cell_0312,beta,Endocrine
human1_lib1.final_cell_0313,gamma,Endocrine
human1_lib1.final_cell_0314,beta,Endocrine
human1_lib1.final_cell_0315,beta,Endocrine
human1_lib1.final_cell_0316,beta,Endocrine
human1_lib1.final_cell_0317,beta,Endocrine
human1_lib1.final_cell_0318,beta,Endocrine
human1_lib1.final_cell_0319,endothelial,endothelial
human1_lib1.final_cell_0320,beta,Endocrine
human1_lib1.final_cell_0321,delta,Endocrine
human1_lib1.final_cell_0322,alpha,Endocrine
human1_lib1.final_cell_0323,epsilon,Endocrine
human1_lib1.final_cell_0324,alpha,Endocrine
human1_lib1.final_cell_0325,quiescent_stellate,PSC
human1_lib1.final_cell_0326,alpha,Endocrine
human1_lib1.final_cell_0327,alpha,Endocrine
human1_lib1.final_cell_0328,beta,Endocrine
human1_lib1.final_cell_0329,beta,Endocrine
human1_lib1.final_cell_0330,ductal,Exocrine
human1_lib1.final_cell_0331,beta,Endocrine
human1_lib1.final_cell_0332,alpha,Endocrine
human1_lib1.final_cell_0333,beta,Endocrine
human1_lib1.final_cell_0334,alpha,Endocrine
human1_lib1.final_cell_0335,beta,Endocrine
human1_lib1.final_cell_0336,beta,Endocrine
human1_lib1.final_cell_0337,delta,Endocrine
human1_lib1.final_cell_0338,delta,Endocrine
human1_lib1.final_cell_0339,beta,Endocrine
human1_lib1.final_cell_0340,beta,Endocrine
human1_lib1.final_cell_0341,beta,Endocrine
human1_lib1.final_cell_0342,ductal,Exocrine
human1_lib1.final_cell_0343,acinar,Exocrine
human1_lib1.final_cell_0344,beta,Endocrine
human1_lib1.final_cell_0345,alpha,Endocrine
human1_lib1.final_cell_0346,beta,Endocrine
human1_lib1.final_cell_0347,beta,Endocrine
human1_lib1.final_cell_0348,alpha,Endocrine
human1_lib1.final_cell_0349,beta,Endocrine
human1_lib1.final_cell_0350,quiescent_stellate,PSC
human1_lib1.final_cell_0351,beta,Endocrine
human1_lib1.final_cell_0352,gamma,Endocrine
human1_lib1.final_cell_0353,beta,Endocrine
human1_lib1.final_cell_0354,gamma,Endocrine
human1_lib1.final_cell_0355,endothelial,endothelial
human1_lib1.final_cell_0356,beta,Endocrine
human1_lib1.final_cell_0357,alpha,Endocrine
human1_lib1.final_cell_0358,schwann,schwann
human1_lib1.final_cell_0359,beta,Endocrine
human1_lib1.final_cell_0360,quiescent_stellate,PSC
human1_lib1.final_cell_0361,endothelial,endothelial
human1_lib1.final_cell_0362,gamma,Endocrine
human1_lib1.final_cell_0363,beta,Endocrine
human1_lib1.final_cell_0364,beta,Endocrine
human1_lib1.final_cell_0365,alpha,Endocrine
human1_lib1.final_cell_0366,alpha,Endocrine
human1_lib1.final_cell_0367,gamma,Endocrine
human1_lib1.final_cell_0368,beta,Endocrine
human1_lib1.final_cell_0369,beta,Endocrine
human1_lib1.final_cell_0370,delta,Endocrine
human1_lib1.final_cell_0371,acinar,Exocrine
human1_lib1.final_cell_0372,acinar,Exocrine
human1_lib1.final_cell_0373,gamma,Endocrine
human1_lib1.final_cell_0374,ductal,Exocrine
human1_lib1.final_cell_0375,ductal,Exocrine
human1_lib1.final_cell_0376,endothelial,endothelial
human1_lib1.final_cell_0377,delta,Endocrine
human1_lib1.final_cell_0378,beta,Endocrine
human1_lib1.final_cell_0379,beta,Endocrine
human1_lib1.final_cell_0380,endothelial,endothelial
human1_lib1.final_cell_0381,alpha,Endocrine
human1_lib1.final_cell_0382,acinar,Exocrine
human1_lib1.final_cell_0383,endothelial,endothelial
human1_lib1.final_cell_0384,endothelial,endothelial
human1_lib1.final_cell_0385,alpha,Endocrine
human1_lib1.final_cell_0386,beta,Endocrine
human1_lib1.final_cell_0387,beta,Endocrine
human1_lib1.final_cell_0388,gamma,Endocrine
human1_lib1.final_cell_0389,beta,Endocrine
human1_lib1.final_cell_0390,alpha,Endocrine
human1_lib1.final_cell_0391,beta,Endocrine
human1_lib1.final_cell_0392,beta,Endocrine
human1_lib1.final_cell_0393,beta,Endocrine
human1_lib1.final_cell_0394,beta,Endocrine
human1_lib1.final_cell_0395,beta,Endocrine
human1_lib1.final_cell_0396,delta,Endocrine
human1_lib1.final_cell_0397,beta,Endocrine
human1_lib1.final_cell_0398,quiescent_stellate,PSC
human1_lib1.final_cell_0399,activated_stellate,PSC
human1_lib1.final_cell_0400,beta,Endocrine
human1_lib1.final_cell_0401,alpha,Endocrine
human1_lib1.final_cell_0402,beta,Endocrine
human1_lib1.final_cell_0403,gamma,Endocrine
human1_lib1.final_cell_0404,quiescent_stellate,PSC
human1_lib1.final_cell_0405,beta,Endocrine
human1_lib1.final_cell_0406,alpha,Endocrine
human1_lib1.final_cell_0407,quiescent_stellate,PSC
human1_lib1.final_cell_0408,endothelial,endothelial
human1_lib1.final_cell_0409,beta,Endocrine
human1_lib1.final_cell_0410,ductal,Exocrine
human1_lib1.final_cell_0411,endothelial,endothelial
human1_lib1.final_cell_0412,ductal,Exocrine
human1_lib1.final_cell_0413,acinar,Exocrine
human1_lib1.final_cell_0414,alpha,Endocrine
human1_lib1.final_cell_0415,delta,Endocrine
human1_lib1.final_cell_0416,beta,Endocrine
human1_lib1.final_cell_0417,macrophage,Immune
human1_lib1.final_cell_0418,ductal,Exocrine
human1_lib1.final_cell_0419,endothelial,endothelial
human1_lib1.final_cell_0420,endothelial,endothelial
human1_lib1.final_cell_0421,gamma,Endocrine
human1_lib1.final_cell_0422,endothelial,endothelial
human1_lib1.final_cell_0423,endothelial,endothelial
human1_lib1.final_cell_0424,beta,Endocrine
human1_lib1.final_cell_0425,beta,Endocrine
human1_lib1.final_cell_0426,gamma,Endocrine
human1_lib1.final_cell_0427,beta,Endocrine
human1_lib1.final_cell_0428,mast,Immune
human1_lib1.final_cell_0429,beta,Endocrine
human1_lib1.final_cell_0430,endothelial,endothelial
human1_lib1.final_cell_0431,gamma,Endocrine
human1_lib1.final_cell_0432,quiescent_stellate,PSC
human1_lib1.final_cell_0433,alpha,Endocrine
human1_lib1.final_cell_0434,beta,Endocrine
human1_lib1.final_cell_0435,alpha,Endocrine
human1_lib1.final_cell_0436,acinar,Exocrine
human1_lib1.final_cell_0437,ductal,Exocrine
human1_lib1.final_cell_0438,beta,Endocrine
human1_lib1.final_cell_0439,beta,Endocrine
human1_lib1.final_cell_0440,ductal,Exocrine
human1_lib1.final_cell_0441,beta,Endocrine
human1_lib1.final_cell_0442,beta,Endocrine
human1_lib1.final_cell_0443,ductal,Exocrine
human1_lib1.final_cell_0444,acinar,Exocrine
human1_lib1.final_cell_0445,endothelial,endothelial
human1_lib1.final_cell_0446,beta,Endocrine
human1_lib1.final_cell_0447,beta,Endocrine
human1_lib1.final_cell_0448,beta,Endocrine
human1_lib1.final_cell_0449,ductal,Exocrine
human1_lib1.final_cell_0450,activated_stellate,PSC
human1_lib1.final_cell_0451,beta,Endocrine
human1_lib1.final_cell_0452,quiescent_stellate,PSC
human1_lib1.final_cell_0453,acinar,Exocrine
human1_lib1.final_cell_0454,gamma,Endocrine
human1_lib1.final_cell_0455,quiescent_stellate,PSC
human1_lib1.final_cell_0456,endothelial,endothelial
human1_lib1.final_cell_0457,endothelial,endothelial
human1_lib1.final_cell_0458,alpha,Endocrine
human1_lib1.final_cell_0459,quiescent_stellate,PSC
human1_lib1.final_cell_0460,beta,Endocrine
human1_lib1.final_cell_0461,acinar,Exocrine
human1_lib1.final_cell_0462,beta,Endocrine
human1_lib1.final_cell_0463,endothelial,endothelial
human1_lib1.final_cell_0464,endothelial,endothelial
human1_lib1.final_cell_0465,beta,Endocrine
human1_lib1.final_cell_0466,acinar,Exocrine
human1_lib1.final_cell_0467,delta,Endocrine
human1_lib1.final_cell_0468,beta,Endocrine
human1_lib1.final_cell_0469,beta,Endocrine
human1_lib1.final_cell_0470,beta,Endocrine
human1_lib1.final_cell_0471,beta,Endocrine
human1_lib1.final_cell_0472,beta,Endocrine
human1_lib1.final_cell_0473,beta,Endocrine
human1_lib1.final_cell_0474,beta,Endocrine
human1_lib1.final_cell_0475,beta,Endocrine
human1_lib1.final_cell_0476,gamma,Endocrine
human1_lib1.final_cell_0477,ductal,Exocrine
human1_lib1.final_cell_0478,beta,Endocrine
human1_lib1.final_cell_0479,gamma,Endocrine
human1_lib1.final_cell_0480,beta,Endocrine
human1_lib1.final_cell_0481,delta,Endocrine
human1_lib1.final_cell_0482,beta,Endocrine
human1_lib1.final_cell_0483,beta,Endocrine
human1_lib1.final_cell_0484,gamma,Endocrine
human1_lib1.final_cell_0485,quiescent_stellate,PSC
human1_lib1.final_cell_0486,delta,Endocrine
human1_lib1.final_cell_0487,beta,Endocrine
human1_lib1.final_cell_0488,delta,Endocrine
human1_lib1.final_cell_0489,quiescent_stellate,PSC
human1_lib1.final_cell_0490,delta,Endocrine
human1_lib1.final_cell_0491,beta,Endocrine
human1_lib1.final_cell_0492,alpha,Endocrine
human1_lib1.final_cell_0493,delta,Endocrine
human1_lib1.final_cell_0494,alpha,Endocrine
human1_lib1.final_cell_0495,quiescent_stellate,PSC
human1_lib1.final_cell_0496,quiescent_stellate,PSC
human1_lib1.final_cell_0497,beta,Endocrine
human1_lib1.final_cell_0498,endothelial,endothelial
human1_lib1.final_cell_0499,endothelial,endothelial
human1_lib1.final_cell_0500,activated_stellate,PSC
human1_lib1.final_cell_0501,beta,Endocrine
human1_lib1.final_cell_0502,alpha,Endocrine
human1_lib1.final_cell_0503,delta,Endocrine
human1_lib1.final_cell_0504,beta,Endocrine
human1_lib1.final_cell_0505,endothelial,endothelial
human1_lib1.final_cell_0506,alpha,Endocrine
human1_lib1.final_cell_0507,quiescent_stellate,PSC
human1_lib1.final_cell_0508,beta,Endocrine
human1_lib1.final_cell_0509,endothelial,endothelial
human1_lib1.final_cell_0510,activated_stellate,PSC
human1_lib1.final_cell_0511,gamma,Endocrine
human1_lib1.final_cell_0512,beta,Endocrine
human1_lib1.final_cell_0513,quiescent_stellate,PSC
human1_lib1.final_cell_0514,beta,Endocrine
human1_lib1.final_cell_0515,endothelial,endothelial
human1_lib1.final_cell_0516,gamma,Endocrine
human1_lib1.final_cell_0517,beta,Endocrine
human1_lib1.final_cell_0518,beta,Endocrine
human1_lib1.final_cell_0519,alpha,Endocrine
human1_lib1.final_cell_0520,endothelial,endothelial
human1_lib1.final_cell_0521,gamma,Endocrine
human1_lib1.final_cell_0522,beta,Endocrine
human1_lib1.final_cell_0523,beta,Endocrine
human1_lib1.final_cell_0524,beta,Endocrine
human1_lib1.final_cell_0525,beta,Endocrine
human1_lib1.final_cell_0526,endothelial,endothelial
human1_lib1.final_cell_0527,mast,Immune
human1_lib1.final_cell_0528,beta,Endocrine
human1_lib1.final_cell_0529,beta,Endocrine
human1_lib1.final_cell_0530,endothelial,endothelial
human1_lib1.final_cell_0531,beta,Endocrine
human1_lib1.final_cell_0532,endothelial,endothelial
human1_lib1.final_cell_0533,beta,Endocrine
human1_lib1.final_cell_0534,endothelial,endothelial
human1_lib1.final_cell_0535,beta,Endocrine
human1_lib1.final_cell_0536,quiescent_stellate,PSC
human1_lib1.final_cell_0537,endothelial,endothelial
human1_lib1.final_cell_0538,endothelial,endothelial
human1_lib1.final_cell_0539,beta,Endocrine
human1_lib1.final_cell_0540,endothelial,endothelial
human1_lib1.final_cell_0541,quiescent_stellate,PSC
human1_lib1.final_cell_0542,beta,Endocrine
human1_lib1.final_cell_0543,alpha,Endocrine
human1_lib1.final_cell_0544,ductal,Exocrine
human1_lib1.final_cell_0545,endothelial,endothelial
human1_lib1.final_cell_0546,beta,Endocrine
human1_lib1.final_cell_0547,beta,Endocrine
human1_lib1.final_cell_0548,endothelial,endothelial
human1_lib1.final_cell_0549,beta,Endocrine
human1_lib1.final_cell_0550,beta,Endocrine
human1_lib1.final_cell_0551,beta,Endocrine
human1_lib1.final_cell_0552,endothelial,endothelial
human1_lib1.final_cell_0553,macrophage,Immune
human1_lib1.final_cell_0554,endothelial,endothelial
human1_lib1.final_cell_0555,ductal,Exocrine
human1_lib1.final_cell_0556,beta,Endocrine
human1_lib1.final_cell_0557,ductal,Exocrine
human1_lib1.final_cell_0558,endothelial,endothelial
human1_lib1.final_cell_0559,quiescent_stellate,PSC
human1_lib1.final_cell_0560,beta,Endocrine
human1_lib1.final_cell_0561,endothelial,endothelial
human1_lib1.final_cell_0562,endothelial,endothelial
human1_lib1.final_cell_0563,beta,Endocrine
human1_lib1.final_cell_0564,endothelial,endothelial
human1_lib1.final_cell_0565,endothelial,endothelial
human1_lib1.final_cell_0566,alpha,Endocrine
human1_lib1.final_cell_0567,ductal,Exocrine
human1_lib1.final_cell_0568,beta,Endocrine
human1_lib2.final_cell_0001,delta,Endocrine
